ra,dec,rMeanPSFMag
149.93060515,44.53942673,-999.000
149.93171817,44.53598397,-999.000
149.94619170,44.53380176,-999.000
149.94795844,44.53836292,15.084
149.94835007,44.53549362,-999.000
149.94898723,44.53573147,-999.000
149.95100029,44.53700768,-999.000
149.95098405,44.53376215,-999.000
149.95105918,44.53312166,-999.000
149.95547701,44.54077911,-999.000
150.13483195,44.75080525,-999.000
150.13621045,44.74962897,-999.000
150.13848221,44.75029492,-999.000
150.14263016,44.75362131,-999.000
149.52982753,44.89210489,-999.000
149.53011916,44.89480303,-999.000
149.53065401,44.89198270,-999.000
149.53161238,44.89346859,-999.000
149.65548412,44.89508394,-999.000
149.65776559,44.89621980,-999.000
149.66384729,44.89606859,-999.000
149.67699624,44.89655739,-999.000
149.30240791,45.03289529,-999.000
149.30583235,45.03777814,-999.000
149.32413037,45.03887602,-999.000
149.33225072,45.03719526,-999.000
149.70748340,45.03874769,-999.000
149.70792887,45.03833780,-999.000
149.70907697,45.03996382,-999.000
149.73895485,45.18180649,-999.000
149.74671101,45.17856798,-999.000
149.74710333,45.17917631,-999.000
150.48524621,45.32597461,-999.000
150.48562867,45.32505630,-999.000
150.49673931,45.32524316,-999.000
150.50097887,45.32730031,-999.000
150.50170892,45.32629496,-999.000
150.50808037,45.32770349,-999.000
150.50839746,45.32817640,-999.000
150.50920450,45.32953401,-999.000
150.50908779,45.32517675,-999.000
150.51005409,45.33097282,-999.000
150.51067634,45.33213825,-999.000
150.15000511,45.51088453,-999.000
150.15030054,45.51097738,-999.000
150.15636113,45.50992681,-999.000
150.15978328,45.50819416,-999.000
150.17389100,45.51505913,-999.000
150.18933103,45.51129112,-999.000
150.19275677,45.50782114,-999.000
150.19936912,45.51225031,-999.000
150.45324331,44.61557040,-999.000
150.45424903,44.60986443,-999.000
150.45610375,44.61550567,-999.000
150.45985180,44.61084131,-999.000
150.46108340,44.61523890,-999.000
150.46731758,44.60851576,-999.000
150.48303674,44.61226860,-999.000
150.48529133,44.61013829,-999.000
150.49368548,44.60922256,-999.000
150.49802466,44.61055034,-999.000
150.74533529,44.77356460,-999.000
150.74639263,44.77428823,-999.000
150.74885793,44.77100357,-999.000
150.75396938,44.77243929,-999.000
149.24068223,44.78146146,-999.000
149.24107423,44.77974139,-999.000
149.24395014,44.77498451,-999.000
149.25080878,44.78179299,-999.000
149.25666362,44.77762028,-999.000
149.25784742,44.77923167,-999.000
149.26034120,44.78211379,-999.000
149.74023018,44.91517233,-999.000
149.74463277,44.91517002,-999.000
149.74809576,44.91524497,-999.000
149.75091593,44.91370256,-999.000
149.75111004,44.91138564,-999.000
149.75795691,44.91132729,-999.000
149.76105436,44.91373523,-999.000
149.76112274,44.91154808,-999.000
149.76154284,44.90896433,-999.000
149.76878834,44.91457793,-999.000
149.78176357,44.90965053,-999.000
149.79644822,44.90922756,-999.000
150.26811048,44.94230511,-999.000
150.29055365,44.94485040,-999.000
150.30695150,44.94851015,-999.000
150.31832235,44.94658776,-999.000
150.32498490,44.94532897,-999.000
150.32852760,44.94756749,-999.000
150.44098713,45.08498589,-999.000
150.45558341,45.09046691,-999.000
150.47231183,45.08446216,-999.000
150.47914596,45.09008355,-999.000
150.47962085,45.08937637,-999.000
150.48073149,45.08890364,-999.000
149.71413079,45.23302082,-999.000
149.71924563,45.23656992,-999.000
149.73354698,45.23676185,-999.000
149.73732095,45.23629217,-999.000
149.75054061,45.23913284,-999.000
149.75735538,45.23650828,-999.000
149.75884754,45.23931852,-999.000
150.06406193,45.39650941,-999.000
150.06472927,45.39509640,-999.000
150.06490377,45.39424130,12.163
150.06513439,45.39323566,-999.000
150.05764505,45.39943293,-999.000
150.06033188,45.39456070,-999.000
150.06658120,45.39475080,-999.000
150.06834414,45.39567331,-999.000
150.07014408,45.39640721,-999.000
150.07016132,45.39761375,-999.000
150.07060872,45.39414938,-999.000
150.07058621,45.39294753,-999.000
150.07695546,45.39401103,-999.000
149.94605915,44.49742491,-999.000
149.94803459,44.49116900,-999.000
149.95859330,44.49769220,-999.000
149.95941839,44.49425883,-999.000
149.96574055,44.49619048,-999.000
149.97035452,44.49491906,-999.000
149.97177404,44.49516798,-999.000
149.97174963,44.49351065,-999.000
149.97777458,44.49202402,-999.000
149.98284552,44.49932522,-999.000
149.98408688,44.49596660,-999.000
149.98483698,44.49873803,-999.000
149.74657136,44.67676145,-999.000
