RA,DEC,dis,RA_NEOWISE,DEC_NEOWISE,w1mpro,w1sigmpro,w2mpro,w2sigmpro,ph_qual,separation,match_arcsec,opt_index,opt_ra,opt_dec,opt_source_file,tile_id
187.0283705,27.8512245,103159.41449775,187.0290244,27.8512555,16.459,,14.081,0.336,UB,2.084346099685436,1.0028180874458132,180200,187.0287417966165,27.851132365135804,data/tiles/tile-RA186.972-DEC+27.627/catalogs/sextractor_pass2.csv,tile-RA186.972-DEC+27.627
233.6424485,66.7730291,275326.02970389,233.642248,66.772908,15.397,0.18,15.048,0.435,BC,0.5206655092778328,0.6195466335997096,119694,233.6422498397563,66.77308009602935,data/tiles/tile-RA234.076-DEC+66.854/catalogs/sextractor_pass2.csv,tile-RA234.076-DEC+66.854
192.8738216,7.4520514,53436.613295618,192.8739564,7.451732,16.169,0.424,15.34,,CU,1.2464620104857176,1.4813436794738006,183370,192.87370266044928,7.452057605761662,data/tiles/tile-RA193.024-DEC+7.683/catalogs/sextractor_pass2.csv,tile-RA193.024-DEC+7.683
224.3499506,19.5691901,171506.22605073,224.3501918,19.5695056,16.306,0.317,14.862,,BU,1.3997972705916408,1.1188652003681048,1872,224.34993107073052,19.569315229011693,data/tiles/tile-RA224.304-DEC+19.609/catalogs/sextractor_pass2.csv,tile-RA224.304-DEC+19.609
178.1491713,22.8724195,82595.423750587,178.1488679,22.8727614,16.452,0.496,15.013,,CU,1.5898820864637195,1.838235180956532,184803,178.14923696319644,22.872380474178744,data/tiles/tile-RA178.060-DEC+22.983/catalogs/sextractor_pass2.csv,tile-RA178.060-DEC+22.983
267.3347059,63.4610076,319714.10056164,267.3346884,63.4608894,16.448,0.368,14.78,,CU,0.4264500323129326,0.7542192126843462,172557,267.33444260707176,63.460710986015656,data/tiles/tile-RA266.798-DEC+63.680/catalogs/sextractor_pass2.csv,tile-RA266.798-DEC+63.680
161.7145868,9.0448065,73192.866298483,161.7149709,9.0447276,17.044,,14.092,0.323,UB,1.3947941040526108,1.2486550697877976,10015,161.71461985411491,9.04473834952116,data/tiles/tile-RA161.570-DEC+9.094/catalogs/sextractor_pass2.csv,tile-RA161.570-DEC+9.094
131.2015371,43.4802598,221210.18571337,131.2020982,43.4805619,15.596,0.352,15.159,,BU,1.825122083718952,1.4053377712435495,162467,131.20172135578218,43.48028329735824,data/tiles/tile-RA131.471-DEC+43.572/catalogs/sextractor_pass2.csv,tile-RA131.471-DEC+43.572
33.1477964,39.048219,470012.68823523,33.1479312,39.0480498,12.702,0.037,14.967,,AU,0.7162843130457677,1.538414560240532,42151,33.14817795185516,39.048431761502655,data/tiles/tile-RA32.975-DEC+39.265/catalogs/sextractor_pass2.csv,tile-RA32.975-DEC+39.265
16.7856994,5.9125358,584034.25247456,16.7858317,5.9120137,17.053,,14.704,0.424,UC,1.9383450660677548,1.86893437347764,90140,16.785562746586354,5.9124586124321485,data/tiles/tile-RA16.739-DEC+6.138/catalogs/sextractor_pass2.csv,tile-RA16.739-DEC+6.138
