row_id,NUMBER,tile_id,plate_id,date_obs_iso,has_vosa_like_match,is_supercosmos_artifact,ptf_match_ngood,is_known_variable_or_transient,skybot_strict,skybot_wide,RA,Dec
tile-RA282.069-DEC-26.346:8612,8612,tile-RA282.069-DEC-26.346,XE868,1950-07-12T08:02:00,False,False,False,False,False,False,282.2580261230469,-26.23039436340332
tile-RA282.069-DEC-26.346:8642,8642,tile-RA282.069-DEC-26.346,XE868,1950-07-12T08:02:00,False,False,False,False,False,False,281.9973449707031,-26.237382888793945
tile-RA282.069-DEC-26.346:8845,8845,tile-RA282.069-DEC-26.346,XE868,1950-07-12T08:02:00,False,False,False,False,False,False,281.8333740234375,-26.248991012573242
tile-RA282.069-DEC-26.346:9400,9400,tile-RA282.069-DEC-26.346,XE868,1950-07-12T08:02:00,False,False,False,False,False,False,282.3359680175781,-26.117258071899414
tile-RA297.584-DEC+39.574:7175,7175,tile-RA297.584-DEC+39.574,XE232,1954-07-27T07:05:00,False,False,False,False,False,False,297.2998352050781,39.73114776611328
tile-RA297.584-DEC+39.574:7263,7263,tile-RA297.584-DEC+39.574,XE232,1954-07-27T07:05:00,False,False,False,False,False,False,297.3231506347656,39.72963333129883
tile-RA297.584-DEC+39.574:7370,7370,tile-RA297.584-DEC+39.574,XE232,1954-07-27T07:05:00,False,False,False,False,False,False,297.5461730957031,39.73184585571289
tile-RA297.584-DEC+39.574:7616,7616,tile-RA297.584-DEC+39.574,XE232,1954-07-27T07:05:00,False,False,False,False,False,False,297.341552734375,39.702213287353516
tile-RA297.584-DEC+39.574:7683,7683,tile-RA297.584-DEC+39.574,XE232,1954-07-27T07:05:00,False,False,False,False,False,True,297.5976257324219,39.71147155761719
tile-RA255.978-DEC-25.123:8457,8457,tile-RA255.978-DEC-25.123,XE864,1952-08-22T05:53:00,False,False,False,False,False,False,255.82437133789062,-25.011241912841797
tile-RA255.978-DEC-25.123:8906,8906,tile-RA255.978-DEC-25.123,XE864,1952-08-22T05:53:00,False,False,False,False,False,False,255.96249389648438,-25.034875869750977
tile-RA266.282-DEC-24.976:5955,5955,tile-RA266.282-DEC-24.976,XE866,1950-07-13T06:28:00,False,False,False,False,False,False,266.3223876953125,-24.968990325927734
tile-RA275.203-DEC+4.205:7210,7210,tile-RA275.203-DEC+4.205,XE570,1950-07-10T07:27:00,False,False,False,False,False,False,275.19818115234375,4.372142791748047
tile-RA275.203-DEC+4.205:7481,7481,tile-RA275.203-DEC+4.205,XE570,1950-07-10T07:27:00,False,False,False,False,False,False,275.1976623535156,4.356475830078125
tile-RA275.203-DEC+4.205:7540,7540,tile-RA275.203-DEC+4.205,XE570,1950-07-10T07:27:00,False,False,False,False,False,False,275.4276123046875,4.355798721313477
tile-RA339.974-DEC+50.200:5187,5187,tile-RA339.974-DEC+50.200,XE189,1952-09-14T05:27:00,False,False,False,False,False,False,340.11383056640625,50.24721145629883
tile-RA293.032-DEC+2.510:5979,5979,tile-RA293.032-DEC+2.510,XE633,1950-07-10T09:12:00,False,False,False,False,False,False,292.99517822265625,2.5484304428100586
tile-RA330.295-DEC+51.864:6918,6918,tile-RA330.295-DEC+51.864,XE146,1952-09-12T05:33:00,False,False,False,False,False,True,330.4321594238281,52.04093933105469
tile-RA254.150-DEC-31.870:7120,7120,tile-RA254.150-DEC-31.870,XE920,1957-04-28T10:20:00,False,False,False,False,False,False,253.8922119140625,-31.689544677734375
tile-RA332.666-DEC+55.464:5953,5953,tile-RA332.666-DEC+55.464,XE146,1952-09-12T05:33:00,False,False,False,False,False,False,332.58575439453125,55.4602165222168
tile-RA257.190-DEC-22.947:6995,6995,tile-RA257.190-DEC-22.947,XE864,1952-08-22T05:53:00,False,False,False,False,False,False,256.96881103515625,-22.79273796081543
tile-RA257.190-DEC-22.947:7127,7127,tile-RA257.190-DEC-22.947,XE864,1952-08-22T05:53:00,False,False,False,False,False,False,257.0650329589844,-22.80217933654785
tile-RA284.976-DEC-25.071:9390,9390,tile-RA284.976-DEC-25.071,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,285.21856689453125,-24.844650268554688
tile-RA110.068-DEC-26.454:6798,6798,tile-RA110.068-DEC-26.454,XE842,1953-01-20T07:33:00,False,False,False,False,False,False,110.15989685058594,-26.26388168334961
tile-RA291.776-DEC+30.910:7054,7054,tile-RA291.776-DEC+30.910,XE337,1951-07-07T08:40:00,False,False,False,False,False,False,292.0011901855469,31.0950927734375
